字號,字
1,東
2,菄
11,凍
14,崠
18,同
19,仝
20,童
21,僮
22,銅
23,桐
28,筒
29,瞳
39,橦
40,烔
63,中
64,衷
65,忠
67,蟲
68,沖
70,盅
75,終
76,眾
79,螽
80,𧑄
86,鴤
90,忡
92,盅
93,崇
94,崈
97,嵩
98,崧
101,菘
106,戎
107,𢦦
113,狨
114,絨
115,弓
116,躳
117,躬
119,宮
121,融
122,融
125,雄
126,熊
128,夢
133,穹
136,芎
137,𦵡
140,窮
141,藭
143,馮
150,風
151,飌
152,楓
157,豐
158,酆
160,灃
165,充
167,茺
172,隆
173,癃
175,窿
178,空
179,箜
186,倥
192,公
193,功
194,工
196,蚣
200,攻
205,蒙
206,冡
207,濛
209,艨
210,朦
211,矇
214,檬
219,幪
223,蠓
228,朦
230,懜
232,籠
235,朧
239,瀧
240,聾
242,礱
245,嚨
246,蘢
247,櫳
252,瓏
253,曨
259,洪
261,訌
262,紅
263,虹
265,鴻
282,叢
283,藂
287,翁
290,蓊
295,怱
296,忩
297,葱
300,聦
303,騘
305,囪
308,㷓
310,通
326,椶
327,騣
341,蓬
343,篷
345,蜂
351,烘
353,魟
361,冬
362,𡘬
368,彤
369,疼
391,琮
394,淙
396,鬃
401,農
402,䢉
403,辳
404,𨑋
406,噥
410,儂
411,𧗕
412,膿
413,攻
422,宗
424,鬆
425,䯳
427,鍾
428,鐘
430,忪
445,龍
451,籠
454,舂
456,摏
460,松
461,㮤
464,𧘂
465,衝
467,憧
475,容
476,溶
478,庸
479,𦤘
484,鎔
485,鏞
486,銿
488,傭
492,鱅
493,蓉
510,封
511,𡉚
512,犎
513,葑
515,胷
516,凶
517,𣧑
519,洶
522,兇
524,匈
529,邕
530,雍
536,癰
540,壅
547,濃
553,重
560,從
561,从
570,逢
571,縫
574,𥎌
577,捀
578,峯
579,鋒
580,丰
584,蠭
585,蜂
586,𧒒
589,㷭
590,烽
595,縱
597,蹤
604,茸
615,邛
618,笻
633,恭
634,龔
635,供
645,淞
647,鬆
652,從
664,江
665,扛
666,杠
669,矼
670,豇
671,肛
697,囪
698,䆫
699,牎
700,窓
706,邦
707,𤰫
708,梆
712,降
713,缸
714,瓨
718,胮
719,𤵸
725,雙
732,龐
742,腔
743,𤟄
744,羫
754,幢
755,撞
758,噇
765,樁
772,支
777,卮
778,栀
779,枝
780,祇
783,肢
784,胑
785,𨈛
788,氏
798,眵
801,移
802,䄬
824,拸
827,蛇
833,爲
834,為
841,𪎮
842,麾
847,逶
849,萎
853,痿
855,委
858,糜
859,縻
864,𪎭
877,錘
879,𡍮
880,垂
881,陲
889,羸
891,吹
892,炊
896,鮍
897,披
906,陂
908,碑
915,襬
917,隨
918,隋
920,虧
921,闚
922,窺
923,奇
924,琦
925,騎
936,岐
937,歧
948,芪
955,伎
959,犧
960,羲
962,桸
967,曦
977,㩻
981,崎
988,宜
989,宐
990,𡪀
991,𡨆
992,儀
993,𥫃
999,皮
1000,疲
1008,匙
1018,兒
1019,𠒆
1022,離
1023,籬
1025,罹
1026,璃
1027,酈
1029,驪
1032,鸝
1033,鵹
1034,𪅆
1039,麗
1043,蠡
1046,漓
1059,疵
1068,貲
1069,頿
1073,訾
