字號,字,聲母,韻母,調值,調類,備註
369,疼,tʰ,ɐŋ,21,陽平,
664,江,k,ɔŋ,55,陰平,
665,扛,k,ɔŋ,55,陰平,
670,豇,k,ɔŋ,55,陰平,豇豆
698,䆫,tsʰ,ɔŋ,55,陰平,
699,牎,tsʰ,ɔŋ,55,陰平,
700,窓,tsʰ,ɔŋ,55,陰平,
706,邦,p,ɔŋ,55,陰平,
707,𤰫,p,ɔŋ,55,陰平,
712,降,h,ɔŋ,21,陽平,降伏
725,雙,s,ɔŋ,55,陰平,
732,龐,pʰ,aŋ,21,陽平,
742,腔,h,ɔŋ,55,陰平,
743,𤟄,h,ɔŋ,55,陰平,
744,羫,h,ɔŋ,55,陰平,
772,支,ts,i,55,陰平,
778,栀,ts,i,55,陰平,梔子花
779,枝,ts,i,55,陰平,
783,肢,ts,i,55,陰平,
784,胑,ts,i,55,陰平,
785,𨈛,ts,i,55,陰平,
801,移,j,i,21,陽平,
802,䄬,j,i,21,陽平,
833,爲,w,ɐi,21,陽平,作為
834,為,w,ɐi,21,陽平,作為
841,𪎮,f,ui,55,陰平,
842,麾,f,ui,55,陰平,
849,萎,w,ɐi,35,陰上,氣萎
877,錘,tsʰ,ui,21,陽平,
879,𡍮,tsʰ,ui,21,陽平,
880,垂,tsʰ,ui,21,陽平,
891,吹,tsʰ,ui,55,陰平,
892,炊,tsʰ,ui,55,陰平,
897,披,pʰ,ei,55,陰平,
908,碑,p,ei,55,陰平,
917,隨,tsʰ,ui,21,陽平,
920,虧,kwʰ,ɐi,55,陰平,
921,闚,kwʰ,ɐi,55,陰平,
922,窺,kwʰ,ɐi,55,陰平,
923,奇,kʰ,ei,21,陽平,
925,騎,kʰ,ei,21,陽平,
936,岐,kʰ,ei,21,陽平,
959,犧,h,ei,55,陰平,
988,宜,j,i,21,陽平,
989,宐,j,i,21,陽平,
990,𡪀,j,i,21,陽平,
991,𡨆,j,i,21,陽平,
992,儀,j,i,21,陽平,
993,𥫃,j,i,21,陽平,
999,皮,pʰ,ei,21,陽平,
